# Saving: 0.02 s
time,angle,angleD,angle_cos,angle_sin,position,positionD,Q,target_position
16209.562220335009,-2.066539676194088,-3.413107253048656,-0.4756856441787564,-0.8796153522547464,0.1212643776824034,0.0,0.13773742,0.0
16209.602646827698,-2.2567532938919075,-4.755340442449812,-0.633413815254109,-0.7738132453281176,0.1212643776824034,0.0,-0.28943864,0.0
16209.622864723206,-2.374869814559102,-5.90582603336509,-0.7201881576614881,-0.6937787958450097,0.1207545064377682,-0.0254935622317829,-0.81760406,0.0
16209.643296003342,-2.4991222583778385,-6.212622190942497,-0.8006180030911407,-0.5991751105698184,0.1185450643776824,-0.1104721030043927,-0.98710144,0.0
16209.663594007492,-2.6295106253481184,-6.519418348519904,-0.8717262179612039,-0.4899932661976648,0.1139562231759656,-0.2294420600860455,-0.9802493,0.0
16209.683942079544,-2.7522290883789693,-6.135923151548146,-0.9251508376579546,-0.3795996938628705,0.1073278969957081,-0.3314163090131767,-0.97399014,0.0
16209.704202651978,-2.882617455349249,-6.519418348519904,-0.9666529272299568,-0.2560900589202082,0.0994248927038626,-0.3951502145926343,-0.9566403,0.0
16209.72430896759,-3.019141745471071,-6.826214506097312,-0.9925122506521292,-0.1221451280462923,0.0905871244635193,-0.4418884120175688,-0.9366012,0.0
16209.744719743729,3.130587233162464,-6.672816427308607,-0.9999394409718514,0.0110051982672435,0.0813244635193133,-0.4631330472107217,-0.9085832,0.0
16209.764994859695,2.9971309046164136,-6.672816427156885,-0.9895835357303336,0.1439598062358092,0.0718918454935622,-0.4716309012772589,-0.82484865,0.0
16209.785227060318,2.8606066144945914,-6.826214506097312,-0.960782473677128,0.2773031522988136,0.062289270386266,-0.4801287553652439,-0.5922296,0.0
16209.805461883543,2.722548343584884,-6.902913545491663,-0.9134782158565388,0.4068876370148826,0.0531115879828326,-0.458884120172091,-0.45595673,0.0
16209.825659513474,2.5936939574024898,-6.442719309125553,-0.8536209637674134,0.5208946632638815,0.0446137339055794,-0.4248927038630476,-0.21786092,0.0
16209.845965385435,2.464839571220096,-6.442719309125553,-0.7796102555525831,0.6262649993710618,0.0371356223175965,-0.3739055793994816,-0.083258316,0.0
16209.866293430328,2.335985185037702,-6.442719309125553,-0.6926732252164982,0.7212515532518279,0.0311021459227467,-0.3016738197427636,-0.05863967,0.0
16209.886570692062,2.2178686643705072,-5.90582603336509,-0.6028531508545877,0.7978521658206461,0.0264283261802575,-0.233690987124676,-0.13983558,0.0
16209.906903982162,2.1028201052790845,-5.752427954576386,-0.5072784351473478,0.8617822168242149,0.0226042918454935,-0.1912017167383713,-0.15283896,0.0
16209.926977157593,2.001577373278632,-5.06213660002722,-0.4175806197070549,0.9086398769837652,0.0192901287553648,-0.1657081545065883,-0.32608533,0.0
16209.947304725649,1.91107250679338,-4.525243324266757,-0.3337474494011707,0.9426625271104252,0.0162309012875536,-0.152961373390697,-0.5088777,0.0
16209.967719316484,1.838975409762754,-3.604854851534536,-0.2649760486126093,0.964254994107704,0.0128317596566523,-0.169957081545219,-0.6649495,0.0
16209.988027334211,1.779150159035214,-2.991262536379721,-0.2068496151640842,0.9783727493682918,0.0091776824034334,-0.1827038626611103,-0.6015901,0.0
16210.008295297624,1.736198696974416,-2.147573103041851,-0.1646492230141221,0.9863521852567904,0.0050987124463519,-0.2039484978542627,-0.4519539,0.0
16210.028547763824,1.708587042792475,-1.3805827090983327,-0.1373551075141525,0.9905218697433064,0.0004248927038626,-0.233690987124676,-0.05481289,0.0
16210.048830747604,1.6963151964893894,-0.6135923151548145,-0.1251895378797744,0.9921328437288268,-0.0038240343347639,-0.2124463519315237,0.3171334,0.0
16210.068996191025,1.6978491772772752,0.0766990393943518,-0.1267113027126792,0.9919396381659802,-0.0063733905579399,-0.1274678111589142,0.94501925,0.0
16210.089315414429,1.7131889851561315,0.7669903939435182,-0.1419119615374192,0.9898792831313332,-0.0057785407725321,0.0297424892704133,0.98377943,0.0
16210.109605789185,1.73466471618653,1.0737865515209255,-0.1631359845874762,0.9866035934115964,-0.0021244635193133,0.1827038626611103,0.99902165,0.0
16210.1300034523,1.7699462743079,1.7640779060700915,-0.1978361510853223,0.9802351030868796,0.0038240343347639,0.2974248927041332,0.9941226,0.0
16210.150017261503,1.8159656979444696,2.3009711818305543,-0.2427206345827042,0.970096229014302,0.0114721030042918,0.3824034334767426,0.99272513,0.0
16210.17031121254,1.8711890063083525,2.7611654181966654,-0.2958953249352409,0.9552203707425152,0.0202248927038626,0.4376394849789389,0.9870422,0.0
16210.190759420397,1.944820084126864,3.681553890928887,-0.3653639534489421,0.9308647493165476,0.0294025751072961,0.458884120172091,0.9683181,0.0
16210.210929870604,2.0337909698242305,4.448544284872406,-0.4466294696837666,0.8947190155629853,0.0390051502145922,0.4801287553652436,0.93820274,0.0
16210.231460094452,2.131965740248911,4.908738521238516,-0.5321766260149506,0.8466333555461557,0.0486927038626609,0.484377682403874,0.874479,0.0
16210.251594781876,2.2393443954009067,5.368932757604627,-0.6198472776007878,0.7847224684249151,0.0583802575107296,0.484377682403874,0.78292865,0.0
16210.27194738388,2.362062858431758,6.135923151408631,-0.7112441447993968,0.7029450664800022,0.0678978540772532,0.475879828315793,0.7019623,0.0
16210.29203605652,2.493985206189924,6.596117387914256,-0.7975294589629347,0.6032800030552055,0.0770755364806867,0.458884120172091,0.569856,0.0
16210.31230187416,2.6335774578875166,6.979612584886016,-0.8737117242419543,0.4864440593965057,0.0857433476394849,0.4333905579403087,0.28861877,0.0
16210.33266234398,2.7839075751003093,7.516505860646477,-0.936709802480142,0.3501067636273449,0.0935613733905579,0.3909012875540035,-0.84856564,0.0
