,s.angle,s.position,s.angleD,target_position,u,s.positionD
mean,-0.001105448770897567,-0.5058952671705318,7.378022756045353e-05,-0.4763910576621192,0.0035802955505914317,-0.0012958188116376369
std,0.6419902873428716,19.64473504021713,1.3213322393039535,20.02281636060221,79.06599365430043,15.285047309961726
max,1.40893,44.188629999999996,4.75016,39.99995,200.0,65.61131999999999
min,-1.40781,-46.06485,-4.743130000000001,-39.999990000000004,-200.0,-63.22741
