epoch;loss;lr;val_loss
0;0.0532107912003994;0.001;0.039059631526470184
1;0.03936305269598961;0.001;0.02676241472363472
2;0.029538404196500778;0.001;0.020033808425068855
3;0.019817747175693512;0.001;0.013716993853449821
4;0.013025272637605667;0.001;0.010426155291497707
5;0.010978568345308304;0.001;0.01039188727736473
6;0.009892350062727928;0.000100000005;0.009206744842231274
7;0.00979734305292368;0.000100000005;0.009164965711534023
8;0.009706856682896614;1e-04;0.009055271744728088
9;0.009619087912142277;1e-04;0.008983797393739223
10;0.009554227814078331;1e-04;0.008944561704993248
11;0.009469951502978802;1e-04;0.008914589881896973
12;0.009411241859197617;1e-04;0.00877456832677126
13;0.009337853640317917;1e-04;0.00884481705725193
14;0.009286594577133656;1e-04;0.00875049363821745
15;0.00923426728695631;1e-04;0.008687423542141914
16;0.00918698962777853;1e-04;0.008699489757418633
17;0.009121480397880077;1e-04;0.008737177588045597
18;0.009070481173694134;1e-04;0.00881198886781931
19;0.009020413272082806;1e-04;0.008696112781763077
20;0.008970709517598152;1e-04;0.008568369783461094
21;0.008916833437979221;1e-04;0.00868294108659029
22;0.00886746309697628;1e-04;0.008699529804289341
23;0.008815890178084373;1e-04;0.008626353926956654
24;0.008781034499406815;1e-04;0.00865268986672163
25;0.008740466088056564;1e-04;0.008600117638707161
26;0.008698483929038048;1e-04;0.008373463526368141
27;0.008657312020659447;1e-04;0.00847066380083561
28;0.008618604391813278;1e-04;0.008271653205156326
29;0.008595109917223454;1e-04;0.008494582958519459
30;0.00855172798037529;1e-04;0.00843755342066288
31;0.008523899130523205;1e-04;0.008392775431275368
32;0.008497548289597034;1e-04;0.008396527729928493
33;0.008461637422442436;1e-04;0.008319453336298466
34;0.00842957478016615;1e-04;0.008217306807637215
35;0.008402802981436253;1e-04;0.008246528916060925
36;0.008381002582609653;1e-04;0.008212651126086712
37;0.008365639485418797;1e-04;0.008294950239360332
38;0.008326331153512001;1e-04;0.00844420026987791
39;0.008308208547532558;1e-04;0.008120479062199593
40;0.008294903673231602;1e-04;0.008176121860742569
41;0.008266274817287922;1e-04;0.008091701194643974
42;0.008248173631727695;1e-04;0.008112273178994656
43;0.008225079625844955;1e-04;0.008143007755279541
44;0.008207917213439941;1e-04;0.0081841591745615
45;0.008177874609827995;1e-04;0.008149837143719196
46;0.008155936375260353;1e-04;0.008002818562090397
47;0.00813678465783596;1e-04;0.008131623268127441
48;0.008119777776300907;1e-04;0.008349726907908916
49;0.008101546205580235;1e-04;0.008008822798728943
